Date,Nivel,Rain
26/04/2004,161.2,0
27/04/2004,159.4,0
28/04/2004,157.3,0
29/04/2004,155.4,0
30/04/2004,153.3,0
01/05/2004,151.3,0
02/05/2004,149.2,0
03/05/2004,147.3,27
04/05/2004,147.3,61
05/05/2004,146.8,40
06/05/2004,149.5,22
07/05/2004,153.5,20
08/05/2004,157.3,4.5
09/05/2004,159.5,0
10/05/2004,160.5,0
11/05/2004,160.5,0
12/05/2004,159,0
13/05/2004,157.2,0
14/05/2004,155.3,0
15/05/2004,153.3,0
16/05/2004,151.2,0
17/05/2004,149.5,58
18/05/2004,149,3.5
19/05/2004,147.2,0
20/05/2004,145.4,0
21/05/2004,143.9,0
22/05/2004,142.4,0
23/05/2004,140.9,0
24/05/2004,139.4,7
25/05/2004,137.4,2
26/05/2004,135.3,0
27/05/2004,133.4,0
28/05/2004,134.9,0
29/05/2004,134.9,0
30/05/2004,133.3,0
31/05/2004,131.7,0
01/06/2004,130.1,0
02/06/2004,128.5,0
03/06/2004,127.2,0
04/06/2004,126,0
05/06/2004,124.8,0
06/06/2004,123.6,0
07/06/2004,122.5,0
08/06/2004,121.5,7
09/06/2004,120.6,13
10/06/2004,119.6,2
11/06/2004,118.7,5
12/06/2004,118.2,0
13/06/2004,117.7,0
14/06/2004,117.2,0
15/06/2004,116.7,0
16/06/2004,116.2,0
17/06/2004,115.7,0
18/06/2004,115.2,0
19/06/2004,114.7,0
20/06/2004,114.2,0
21/06/2004,113.7,0
22/06/2004,113.2,0
23/06/2004,112.7,0
24/06/2004,112.2,0
25/06/2004,111.7,0
26/06/2004,111.2,0
27/06/2004,110.7,0
28/06/2004,110.2,0
29/06/2004,109.7,18
30/06/2004,109.2,0
01/07/2004,108.7,0
02/07/2004,108.2,0
03/07/2004,107.2,3.4
04/07/2004,106.2,0
05/07/2004,105.2,0
06/07/2004,104.2,0
07/07/2004,103.4,0
08/07/2004,102.4,0
09/07/2004,101.4,0
10/07/2004,100.4,0
11/07/2004,99.4,6
12/07/2004,98.4,0
13/07/2004,97.5,0
14/07/2004,96,0
15/07/2004,93,0
16/07/2004,90,0
17/07/2004,87,0
18/07/2004,84,0
19/07/2004,81,0
20/07/2004,78,0
21/07/2004,75,0
22/07/2004,72.6,0
23/07/2004,70.2,0
24/07/2004,67.8,0
25/07/2004,65.4,0
26/07/2004,63,4
27/07/2004,60.6,0
28/07/2004,58.2,0
29/07/2004,55.8,5
30/07/2004,53.4,11
31/07/2004,51,2
01/08/2004,48.6,2
02/08/2004,46.2,0
03/08/2004,43.8,0
04/08/2004,41.4,7
05/08/2004,39,0
06/08/2004,36.6,0
07/08/2004,34.2,0
08/08/2004,31.8,0
09/08/2004,29.4,12
10/08/2004,27,0
11/08/2004,0,0
12/08/2004,0,0
13/08/2004,0,0
14/08/2004,0,3
15/08/2004,0,0
16/08/2004,0,0
17/08/2004,0,0
18/08/2004,0,0
19/08/2004,0,0
20/08/2004,0,0
21/08/2004,0,0
22/08/2004,0,0
23/08/2004,0,0
24/08/2004,0,0
25/08/2004,0,0
26/08/2004,0,2
27/08/2004,0,0
28/08/2004,0,0
29/08/2004,0,0
30/08/2004,0,0
31/08/2004,0,0
01/09/2004,0,2
02/09/2004,0,2
03/09/2004,0,0
04/09/2004,0,0
05/09/2004,0,1
06/09/2004,0,0
07/09/2004,0,0
08/09/2004,0,2
09/09/2004,0,0
10/09/2004,0,26
11/09/2004,0,0
12/09/2004,0,0
13/09/2004,0,0
14/09/2004,0,0
15/09/2004,0,0
16/09/2004,0,5
17/09/2004,0,0
18/09/2004,0,0
19/09/2004,0,0
20/09/2004,0,90
21/09/2004,0,11
22/09/2004,0,3
23/09/2004,0,2
24/09/2004,0,16
25/09/2004,0,5
26/09/2004,0,0
27/09/2004,0,8
28/09/2004,0,27
29/09/2004,0,5
30/09/2004,0,8
01/10/2004,0,0
02/10/2004,0,0
03/10/2004,0,4
04/10/2004,0,3
05/10/2004,0,0
06/10/2004,0,0
07/10/2004,0,0
08/10/2004,0,0
09/10/2004,0,0
10/10/2004,0,0
11/10/2004,0,0
12/10/2004,0,0
13/10/2004,0,2
14/10/2004,0,3
15/10/2004,0,0
16/10/2004,0,0
17/10/2004,0,15
18/10/2004,0,32
19/10/2004,0,24
20/10/2004,0,3
21/10/2004,0,5
22/10/2004,0,3
23/10/2004,0,13
24/10/2004,0,25
25/10/2004,0,2
26/10/2004,0,1
27/10/2004,0,9
28/10/2004,0,6
29/10/2004,0,21
30/10/2004,0,67
31/10/2004,40.77,17
01/11/2004,175,5
02/11/2004,275,1
03/11/2004,281,2
04/11/2004,285.6,0
05/11/2004,285.6,0
06/11/2004,389.73,129
07/11/2004,475,62
08/11/2004,587,12
09/11/2004,675,7
10/11/2004,699,0
11/11/2004,708,0
12/11/2004,713,0
13/11/2004,773,69
14/11/2004,808,0
15/11/2004,814,0
16/11/2004,819,0
17/11/2004,824,0
18/11/2004,824,0
19/11/2004,822,0
20/11/2004,819,0
21/11/2004,816,0
22/11/2004,813,0
23/11/2004,810,0
24/11/2004,807,0
25/11/2004,804,0
26/11/2004,801,3
27/11/2004,801,32
28/11/2004,801,0
29/11/2004,798,0
30/11/2004,796,0
01/12/2004,793,0
02/12/2004,790,0
03/12/2004,788,0
04/12/2004,786,0
05/12/2004,783,0
06/12/2004,781,0
07/12/2004,778,0
08/12/2004,776,0
09/12/2004,783,2
10/12/2004,793,0
11/12/2004,800,0
12/12/2004,807,0
13/12/2004,808,0
14/12/2004,810,0
15/12/2004,811,0
16/12/2004,811,0
17/12/2004,811,0
18/12/2004,821,0
19/12/2004,833,0
20/12/2004,845,0
21/12/2004,857,0
22/12/2004,868,0
23/12/2004,878,0
24/12/2004,888,0
25/12/2004,899,0
26/12/2004,910,0
27/12/2004,922,0
28/12/2004,941,0
29/12/2004,954,0
30/12/2004,965,0
31/12/2004,975,0
01/01/2005,986,0
02/01/2005,996,0
03/01/2005,1007,0
04/01/2005,1018,0
05/01/2005,1029,0
06/01/2005,3036,0
07/01/2005,1049,0
08/01/2005,1060,0
09/01/2005,1073,0
10/01/2005,1086,0
11/01/2005,1102,0
12/01/2005,1118,0
13/01/2005,1134,0
14/01/2005,1149,0
15/01/2005,1164,0
16/01/2005,1179,0
17/01/2005,1194,0
18/01/2005,1209,0
19/01/2005,1225,0
20/01/2005,1243,0
21/01/2005,1261,0
22/01/2005,1279,0
23/01/2005,1297,0
24/01/2005,1315,0
25/01/2005,1333,0
26/01/2005,1351,0
27/01/2005,1369,0
28/01/2005,1387,0
29/01/2005,1405,0
30/01/2005,1423,0
31/01/2005,1440,0
01/02/2005,1458,0
02/02/2005,1476,0
03/02/2005,1494,0
04/02/2005,1510,0
05/02/2005,1526,0
06/02/2005,1542,0
07/02/2005,1558,0
08/02/2005,1573,0
09/02/2005,1588,0
10/02/2005,1604,0
11/02/2005,1620,0
12/02/2005,1635,0
13/02/2005,1649,0
14/02/2005,1664,0
15/02/2005,1679,0
16/02/2005,1695,0
17/02/2005,1711,0
18/02/2005,1727,0
19/02/2005,1741,0
20/02/2005,1755,0
21/02/2005,1769,0
22/02/2005,1781,0
23/02/2005,1797,0
24/02/2005,1813,0
25/02/2005,1829,0
26/02/2005,1845,0
27/02/2005,1860,0
28/02/2005,1874,0
01/03/2005,1887,0
02/03/2005,1900,0
03/03/2005,1914,0
04/03/2005,1926,0
05/03/2005,1938,0
06/03/2005,1950,0
07/03/2005,1958,0
08/03/2005,1964,0
09/03/2005,1970,0
10/03/2005,1975,0
11/03/2005,1979,0
12/03/2005,1982,0
13/03/2005,1982,0
14/03/2005,1982,0
15/03/2005,1982,0
16/03/2005,1983,0
17/03/2005,1980,0
18/03/2005,1977,0
19/03/2005,1973,0
20/03/2005,1968,0
21/03/2005,1963,0
22/03/2005,1955,0
23/03/2005,1947,0
24/03/2005,1939,0
25/03/2005,1931,0
26/03/2005,1923,0
27/03/2005,1915,0
28/03/2005,1907,0
29/03/2005,1899,0
30/03/2005,1891,0
31/03/2005,1883,0
01/04/2005,1873,0
02/04/2005,1864,0
03/04/2005,1855,0
04/04/2005,1846,0
05/04/2005,1837,1
06/04/2005,1870,77
07/04/2005,1861,0
08/04/2005,1852,0
09/04/2005,1843,0
10/04/2005,1834,0
11/04/2005,1825,0
12/04/2005,1816,12.5
13/04/2005,1807,0
14/04/2005,1794,0
15/04/2005,1784,0
16/04/2005,1775,0
17/04/2005,1766,0
18/04/2005,1757,0
19/04/2005,1748,0
20/04/2005,1739,0
21/04/2005,1730,0
22/04/2005,1721,0
23/04/2005,1712,0
24/04/2005,1703,0
25/04/2005,1694,0
26/04/2005,1685,0
27/04/2005,1676,0
28/04/2005,1667,0
29/04/2005,1658,0
30/04/2005,1649,0
01/05/2005,1640,0
02/05/2005,1631,8
03/05/2005,1622,0
04/05/2005,1613,14
05/05/2005,1604,4
06/05/2005,1595,0
07/05/2005,1586,0
08/05/2005,1577,0
09/05/2005,1568,0
10/05/2005,1559,0
11/05/2005,1550,0
12/05/2005,1541,0
13/05/2005,1532,0
14/05/2005,1523,0
15/05/2005,1514,0
16/05/2005,1505,0
17/05/2005,1496,0
18/05/2005,1487,0
19/05/2005,1478,0
20/05/2005,1469,0
21/05/2005,1460,0
22/05/2005,1451,0
23/05/2005,1442,0
24/05/2005,1433,0
25/05/2005,1424,0
26/05/2005,1415,0
27/05/2005,1406,0
28/05/2005,1397,0
29/05/2005,1388,0
30/05/2005,1379,0
31/05/2005,1370,0
01/06/2005,1361,0
02/06/2005,1352,0
03/06/2005,1343,0
04/06/2005,1334,0
05/06/2005,1325,0
06/06/2005,1316,0
07/06/2005,1307,0
08/06/2005,1298,0
09/06/2005,1289,32
10/06/2005,1794,0
11/06/2005,1797,0
12/06/2005,1800,0
13/06/2005,1253,0
14/06/2005,1244,0
15/06/2005,1235,0
16/06/2005,1226,0
17/06/2005,1217,0
18/06/2005,1208,0
19/06/2005,1199,0
20/06/2005,1190,0
21/06/2005,1181,3
22/06/2005,1172,0
23/06/2005,1163,0
24/06/2005,1154,0
25/06/2005,1145,0
26/06/2005,1136,0
27/06/2005,1127,0
28/06/2005,1118,0
29/06/2005,1109,0
30/06/2005,1100,0
01/07/2005,1091,0
02/07/2005,1082,0
03/07/2005,1073,0
04/07/2005,1064,0
05/07/2005,1055,0
06/07/2005,1046,7
07/07/2005,1037,0
08/07/2005,1028,0
09/07/2005,1019,0
10/07/2005,1010,0
11/07/2005,1001,0
12/07/2005,992,0
13/07/2005,983,0
14/07/2005,974,0
15/07/2005,965,0
16/07/2005,956,0
17/07/2005,947,0
18/07/2005,938,0
19/07/2005,929,0
20/07/2005,920,4
21/07/2005,911,16
22/07/2005,902,7
23/07/2005,893,29
24/07/2005,893,23
25/07/2005,886,0
26/07/2005,877,0
27/07/2005,868,1
28/07/2005,859,0
29/07/2005,850,0
30/07/2005,841,0
31/07/2005,832,0
01/08/2005,823,0
02/08/2005,814,0
03/08/2005,805,0
04/08/2005,796,0
05/08/2005,787,0
06/08/2005,778,0
07/08/2005,769,0
08/08/2005,760,0
09/08/2005,751,2
10/08/2005,742,0
11/08/2005,733,0
12/08/2005,724,0
13/08/2005,715,0
14/08/2005,706,8
15/08/2005,697,35
16/08/2005,688,38
17/08/2005,680,17
18/08/2005,671,0
19/08/2005,662,0
20/08/2005,653,0
21/08/2005,644,0
22/08/2005,635,0
23/08/2005,626,0
24/08/2005,617,0
25/08/2005,608,0
26/08/2005,599,6
27/08/2005,590,25
28/08/2005,581,0
29/08/2005,572,0
30/08/2005,563,0
31/08/2005,554,0
01/09/2005,545,21
02/09/2005,536,0
03/09/2005,527,0
04/09/2005,518,0
05/09/2005,513.56,0
06/09/2005,509.3,0
07/09/2005,505,2
08/09/2005,501,18
09/09/2005,497,5
10/09/2005,492.6,12
11/09/2005,492,40
12/09/2005,492,0
13/09/2005,490,0
14/09/2005,486,0
15/09/2005,482,0
16/09/2005,478,0
17/09/2005,474,0
18/09/2005,469,0
19/09/2005,464,0
20/09/2005,458,0
21/09/2005,451,0
22/09/2005,444,0
23/09/2005,439,36
24/09/2005,432,0
25/09/2005,427,38
26/09/2005,422,37
27/09/2005,417,0
28/09/2005,412,0
29/09/2005,407,0
30/09/2005,402,3
01/10/2005,397,0
02/10/2005,392,0
03/10/2005,387,0
04/10/2005,382,0
05/10/2005,377,0
06/10/2005,372,0
07/10/2005,367,0
08/10/2005,362,0
09/10/2005,357,0
10/10/2005,352,3
11/10/2005,348,22
12/10/2005,348,74
13/10/2005,351,64
14/10/2005,499,43
15/10/2005,532,0
16/10/2005,532,0
17/10/2005,530,0
18/10/2005,525,0
19/10/2005,529,59
20/10/2005,539,44
21/10/2005,537,0
22/10/2005,535,0
23/10/2005,565,12
24/10/2005,587,22
25/10/2005,615,6
26/10/2005,680,40
27/10/2005,783,125
28/10/2005,1446,241
29/10/2005,1504,0
30/10/2005,1540,0
31/10/2005,1550,1
01/11/2005,1570,15
02/11/2005,1580,0
03/11/2005,1584,0
04/11/2005,1580,0
05/11/2005,1709,95
06/11/2005,1721,44
07/11/2005,1953,103
08/11/2005,2117,5
09/11/2005,2257,40
10/11/2005,2386,3
11/11/2005,2481,0
12/11/2005,2532,14
13/11/2005,2567,0
14/11/2005,2567,0
15/11/2005,2565,0
16/11/2005,2563,0
17/11/2005,2552,0
18/11/2005,2542,0
19/11/2005,2530,0
20/11/2005,2518,0
21/11/2005,2506,9
22/11/2005,2567,45
23/11/2005,2616,28
24/11/2005,2794,87
25/11/2005,2930,27
26/11/2005,3074,48
27/11/2005,3139,16
28/11/2005,3104,0
29/11/2005,3074,0
30/11/2005,3052,0
01/12/2005,3052,0
02/12/2005,3052,0
03/12/2005,3262,146
04/12/2005,3262,28
05/12/2005,3074,5
06/12/2005,2966,0
07/12/2005,2930,0
08/12/2005,2936,0
09/12/2005,2936,0
10/12/2005,2892,9
11/12/2005,2924,22
12/12/2005,2996,15
13/12/2005,3166,131
14/12/2005,3062,0
15/12/2005,3032,0
16/12/2005,3052,0
17/12/2005,3062,0
18/12/2005,3078,38
19/12/2005,2956,75
20/12/2005,2914,6
21/12/2005,2944,2
22/12/2005,2992,2
23/12/2005,3052,0
24/12/2005,3088,0
25/12/2005,3150,0
26/12/2005,3176,0
27/12/2005,3176,0
28/12/2005,3176,0
29/12/2005,3160,0
30/12/2005,3147,0
31/12/2005,3131,0
01/01/2006,3116,0
02/01/2006,3100,0
03/01/2006,3084,0
04/01/2006,3068,0
05/01/2006,3052,0
06/01/2006,3036,0
07/01/2006,3020,0
08/01/2006,3004,0
09/01/2006,2988,0
10/01/2006,2972,0
11/01/2006,2956,0
12/01/2006,2940,0
13/01/2006,2924,0
14/01/2006,2908,0
15/01/2006,2892,0
16/01/2006,2876,0
17/01/2006,2860,0
18/01/2006,2845,0
19/01/2006,2829,0
20/01/2006,2813,0
21/01/2006,2797,0
22/01/2006,2781,0
23/01/2006,2765,0
24/01/2006,2749,0
25/01/2006,2734,0
26/01/2006,2718,0
27/01/2006,2702,0
28/01/2006,2686,0
29/01/2006,2671,0
30/01/2006,2655,0
31/01/2006,2640,0
01/02/2006,2624,0
02/02/2006,2609,0
03/02/2006,2593,0
04/02/2006,2577,0
05/02/2006,2557,0
06/02/2006,2538,0
07/02/2006,2518,0
08/02/2006,2498,0
09/02/2006,2479,0
10/02/2006,2459,0
11/02/2006,2440,0
12/02/2006,2420,0
13/02/2006,2400,0
14/02/2006,2380,0
15/02/2006,2361,0
16/02/2006,2341,0
17/02/2006,2322,0
18/02/2006,2302,0
19/02/2006,2283,0
20/02/2006,2263,0
21/02/2006,2243,0
22/02/2006,2223,0
23/02/2006,2203,0
24/02/2006,2187,0
25/02/2006,2171,0
26/02/2006,2187,0
27/02/2006,2200,0
28/02/2006,2216,0
01/03/2006,2232,0
02/03/2006,2248,0
03/03/2006,2264,2
04/03/2006,2281,2
05/03/2006,2266,0
06/03/2006,2253,0
07/03/2006,2268,0
08/03/2006,2283,0
09/03/2006,2298,0
10/03/2006,2314,0
11/03/2006,2331,0
12/03/2006,2349,0
13/03/2006,2367,0
14/03/2006,2386,0
15/03/2006,2405,0
16/03/2006,2415,0
17/03/2006,2434,0
18/03/2006,2452,0
19/03/2006,2471,0
20/03/2006,2489,0
21/03/2006,2507,0
22/03/2006,2526,0
23/03/2006,2544,0
24/03/2006,2563,0
25/03/2006,2581,0
26/03/2006,2599,0
27/03/2006,2615,0
28/03/2006,2601,0
29/03/2006,2587,0
30/03/2006,2573,0
31/03/2006,2559,0
01/04/2006,2545,0
02/04/2006,2531,0
03/04/2006,2517,0
04/04/2006,2503,0
05/04/2006,2489,0
06/04/2006,2475,0
07/04/2006,2461,0
08/04/2006,2447,0
09/04/2006,2433,0
10/04/2006,2419,0
11/04/2006,2405,0
12/04/2006,2391,0
13/04/2006,2377,0
14/04/2006,2363,0
15/04/2006,2349,0
16/04/2006,2335,0
17/04/2006,2321,0
18/04/2006,2311,41
19/04/2006,2297,0
20/04/2006,2283,0
21/04/2006,2269,0
22/04/2006,2255,0
23/04/2006,2241,0
24/04/2006,2227,0
25/04/2006,2213,0
26/04/2006,2201,0
27/04/2006,2189,0
28/04/2006,2177,0
29/04/2006,2165,0
30/04/2006,2153,0
01/05/2006,2141,0
02/05/2006,2129,0
03/05/2006,2114,0
04/05/2006,2100,0
05/05/2006,2086,0
06/05/2006,2072,0
07/05/2006,2058,0
08/05/2006,2044,0
09/05/2006,2030,0
10/05/2006,2016,0
11/05/2006,2002,0
12/05/2006,1988,0
13/05/2006,1974,0
14/05/2006,1960,0
15/05/2006,1946,0
16/05/2006,1932,0
17/05/2006,1918,0
18/05/2006,1904,0
19/05/2006,1890,0
20/05/2006,1876,0
21/05/2006,1862,0
22/05/2006,1848,0
23/05/2006,1834,0
24/05/2006,1820,0
25/05/2006,1806,0
26/05/2006,1792,0
27/05/2006,1778,0
28/05/2006,1764,0
29/05/2006,1764,0
30/05/2006,1766,0
31/05/2006,1768,0
01/06/2006,1770,0
02/06/2006,1772,0
03/06/2006,1774,0
04/06/2006,1776,18
05/06/2006,1779,4
06/06/2006,1782,4
07/06/2006,1785,0
08/06/2006,1788,0
09/06/2006,1791,0
10/06/2006,1794,0
11/06/2006,1797,0
12/06/2006,1800,0
13/06/2006,1803,0
14/06/2006,1806,6
15/06/2006,1809,0
16/06/2006,1812,0
17/06/2006,1815,0
18/06/2006,1818,0
19/06/2006,1821,0
20/06/2006,1824,0
21/06/2006,1827,0
22/06/2006,1830,0
23/06/2006,1833,22
24/06/2006,1843,10
25/06/2006,1846,0
26/06/2006,1849,0
27/06/2006,1861,23
28/06/2006,1893,47
29/06/2006,1896,1
30/06/2006,1889,0
01/07/2006,1881,0
02/07/2006,1866,0
03/07/2006,1851,0
04/07/2006,1836,0
05/07/2006,1821,0
06/07/2006,1806,0
07/07/2006,1791,0
08/07/2006,1776,0
09/07/2006,1761,0
10/07/2006,1746,2
11/07/2006,1731,6
12/07/2006,1716,5
13/07/2006,1701,12
14/07/2006,1686,0
15/07/2006,1671,0
16/07/2006,1656,0
17/07/2006,1641,0
18/07/2006,1626,0
19/07/2006,1611,0
20/07/2006,1596,1
21/07/2006,1596,2
22/07/2006,1596,0
23/07/2006,1596,0
24/07/2006,1596,0
25/07/2006,1596,2
26/07/2006,1596,0
27/07/2006,1596,0
28/07/2006,1596,14
29/07/2006,1596,2
30/07/2006,1596,0
31/07/2006,1596,0
01/08/2006,1596,0
02/08/2006,1596,0
03/08/2006,1596,0
04/08/2006,1596,3
05/08/2006,1596,0
06/08/2006,1596,0
07/08/2006,1600,56
08/08/2006,1600,2
09/08/2006,1600,0
10/08/2006,1600,0
11/08/2006,1600,7
12/08/2006,1600,8
13/08/2006,1611,0
14/08/2006,1622,24
15/08/2006,1633,16
16/08/2006,1644,10
17/08/2006,1661,0
18/08/2006,1677,0
19/08/2006,1693,0
20/08/2006,1692,0
21/08/2006,1680,0
22/08/2006,1665,0
23/08/2006,1650,0
24/08/2006,1635,0
25/08/2006,1620,0
26/08/2006,1605,0
27/08/2006,1590,0
28/08/2006,1575,0
29/08/2006,1560,0
30/08/2006,1544,0
31/08/2006,1529,0
01/09/2006,1514,0
02/09/2006,1498,0
03/09/2006,1482,6
04/09/2006,1471,18
05/09/2006,1455,0
06/09/2006,1439,0
07/09/2006,1424,0
08/09/2006,1408,0
09/09/2006,1392,0
10/09/2006,1376,0
11/09/2006,1361,0
12/09/2006,1345,0
13/09/2006,1329,0
14/09/2006,1314,0
15/09/2006,1304,19
16/09/2006,1288,0
17/09/2006,1273,0
18/09/2006,1257,4
19/09/2006,1241,3
20/09/2006,1225,3
21/09/2006,1210,3
22/09/2006,1194,2
23/09/2006,1178,0
24/09/2006,1162,0
25/09/2006,1170,78
26/09/2006,1185,15
27/09/2006,1190,0
28/09/2006,1181,0
29/09/2006,1165,0
30/09/2006,1150,0
01/10/2006,1134,0
02/10/2006,1140,17
03/10/2006,1156,0
04/10/2006,1173,0
05/10/2006,1190,12
06/10/2006,1206,0
07/10/2006,1223,0
08/10/2006,1241,0
09/10/2006,1259,0
10/10/2006,1267,0
11/10/2006,1284,0
12/10/2006,1301,0
13/10/2006,1318,0
14/10/2006,1335,0
15/10/2006,1352,0
16/10/2006,1370,0
17/10/2006,1387,0
18/10/2006,1405,0
19/10/2006,1422,8
20/10/2006,1480,52
21/10/2006,1500,1
22/10/2006,1517,2
23/10/2006,1534,0
24/10/2006,1561,16
25/10/2006,1606,29
26/10/2006,1751,142
27/10/2006,1795,10
28/10/2006,1893,78
29/10/2006,2099,133
30/10/2006,2193,43
31/10/2006,2210,0
01/11/2006,2216,16
02/11/2006,2210,2
03/11/2006,2210,0
04/11/2006,2210,4
05/11/2006,2198,0
06/11/2006,2185,0
07/11/2006,2174,14
08/11/2006,2185,6
09/11/2006,2189,23
10/11/2006,2182,2
11/11/2006,2187,15
12/11/2006,2175,4
13/11/2006,2210,65
14/11/2006,2227,5
15/11/2006,2234,14
16/11/2006,2252,16
17/11/2006,2257,8
18/11/2006,2263,13
19/11/2006,2335,51
20/11/2006,2367,11
21/11/2006,2422,6
22/11/2006,2436,0
23/11/2006,2446,0
24/11/2006,2446,0
25/11/2006,2436,0
26/11/2006,2422,0
27/11/2006,2407,0
28/11/2006,2412,0
29/11/2006,2417,0
30/11/2006,2422,0
01/12/2006,2426,0
02/12/2006,2430,0
03/12/2006,2434,0
04/12/2006,2436,0
05/12/2006,2438,0
06/12/2006,2440,0
07/12/2006,2442,0
08/12/2006,2445,0
09/12/2006,2447,0
10/12/2006,2450,0
11/12/2006,2453,3
12/12/2006,2455,2
13/12/2006,2457,0
14/12/2006,2459,0
15/12/2006,2461,0
16/12/2006,2445,0
17/12/2006,2428,0
18/12/2006,2411,0
19/12/2006,2394,0
20/12/2006,2377,0
21/12/2006,2359,2
22/12/2006,2342,0
23/12/2006,2324,0
24/12/2006,2329,0
25/12/2006,2344,0
26/12/2006,2363,0
27/12/2006,2384,0
28/12/2006,2405,0
29/12/2006,2430,0
30/12/2006,2455,0
31/12/2006,2481,0
01/01/2007,2507,0
02/01/2007,2532,0
03/01/2007,2557,0
04/01/2007,2583,0
05/01/2007,2607,0
06/01/2007,2632,0
07/01/2007,2655,0
08/01/2007,2678,0
09/01/2007,2701,0
10/01/2007,2713,0
11/01/2007,2743,0
12/01/2007,2773,0
13/01/2007,2801,0
14/01/2007,2825,0
15/01/2007,2849,0
16/01/2007,2872,0
17/01/2007,2896,0
18/01/2007,2918,0
19/01/2007,2946,0
20/01/2007,2970,0
21/01/2007,2992,0
22/01/2007,3016,0
23/01/2007,3040,0
24/01/2007,3061,0
25/01/2007,3074,0
26/01/2007,3086,0
27/01/2007,3098,0
28/01/2007,3102,0
29/01/2007,3104,0
30/01/2007,3106,0
31/01/2007,3108,0
01/02/2007,3106,0
02/02/2007,3106,0
03/02/2007,3102,0
04/02/2007,3099,0
05/02/2007,3098,0
06/02/2007,3096,0
07/02/2007,3092,0
08/02/2007,3088,0
09/02/2007,3084,0
10/02/2007,3080,0
11/02/2007,3076,0
12/02/2007,3072,0
13/02/2007,3068,0
14/02/2007,3064,10
15/02/2007,3060,0
16/02/2007,3056,0
17/02/2007,3052,0
18/02/2007,3036,0
19/02/2007,3018,0
20/02/2007,3004,0
21/02/2007,2990,0
22/02/2007,2974,0
23/02/2007,2956,0
24/02/2007,2938,0
25/02/2007,2922,0
26/02/2007,2904,0
27/02/2007,2888,0
28/02/2007,2872,0
01/03/2007,2856,0
02/03/2007,2839,0
03/03/2007,2823,0
04/03/2007,2805,0
05/03/2007,2788,0
06/03/2007,2771,0
07/03/2007,2754,0
08/03/2007,2737,0
09/03/2007,2720,0
10/03/2007,2703,0
11/03/2007,2686,0
12/03/2007,2669,0
13/03/2007,2650,0
14/03/2007,2632,0
15/03/2007,2613,0
16/03/2007,2595,0
17/03/2007,2577,0
18/03/2007,2559,0
19/03/2007,2542,0
20/03/2007,2524,0
21/03/2007,2507,0
22/03/2007,2489,0
23/03/2007,2485,0
24/03/2007,2483,0
25/03/2007,2481,0
26/03/2007,2479,0
